GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
27003,50,27,3,33460,378,,,Anoka County,330844,126688,298084,108091,330844,298084
27007,50,27,7,13420,999,,,Beltrami County,44442,20527,39650,16989,44442,39650
27011,50,27,11,99999,999,,,Big Stone County,5269,3115,5820,3171,5269,5820
27013,50,27,13,31860,999,,,Blue Earth County,64013,26202,55941,21971,64013,55941
27015,50,27,15,35580,999,,,Brown County,25893,11493,26911,11163,25893,26911
27017,50,27,17,20260,999,,,Carlton County,35386,15656,31671,13721,35386,31671
27019,50,27,19,33460,378,,,Carver County,91042,34536,70205,24883,91042,70205
27023,50,27,23,99999,999,,,Chippewa County,12441,5721,13088,5855,12441,13088
27025,50,27,25,33460,378,,,Chisago County,53887,21172,41101,15533,53887,41101
27029,50,27,29,99999,999,,,Clearwater County,8695,4773,8423,4114,8695,8423
27031,50,27,31,99999,999,,,Cook County,5176,5839,5168,4708,5176,5168
27033,50,27,33,99999,999,,,Cottonwood County,11687,5412,12167,5376,11687,12167
27035,50,27,35,14660,999,,,Crow Wing County,62500,40180,55099,33483,62500,55099
27039,50,27,39,40340,999,,,Dodge County,20087,7947,17731,6642,20087,17731
27043,50,27,43,99999,999,,,Faribault County,14553,7090,16181,7247,14553,16181
27045,50,27,45,99999,999,,,Fillmore County,20866,9732,21122,8908,20866,21122
27047,50,27,47,10660,999,,,Freeborn County,31255,14231,32584,13996,31255,32584
27049,50,27,49,39860,378,,,Goodhue County,46183,20337,44127,17879,46183,44127
27051,50,27,51,99999,999,,,Grant County,6018,3324,6289,3098,6018,6289
27053,50,27,53,33460,378,,,Hennepin County,1152425,509469,1116200,468824,1152425,1116200
27059,50,27,59,33460,378,,,Isanti County,37816,15321,31287,12062,37816,31287
27061,50,27,61,99999,999,,,Itasca County,45058,27065,43992,24528,45058,43992
27063,50,27,63,99999,999,,,Jackson County,10266,4990,11268,5092,10266,11268
27065,50,27,65,99999,999,,,Kanabec County,16239,7849,14996,6846,16239,14996
27067,50,27,67,48820,999,,,Kandiyohi County,42239,19476,41203,18415,42239,41203
27069,50,27,69,99999,999,,,Kittson County,4552,2605,5285,2719,4552,5285
27071,50,27,71,99999,999,,,Koochiching County,13311,7900,14355,7719,13311,14355
27075,50,27,75,99999,999,,,Lake County,10866,7681,11058,6840,10866,11058
27077,50,27,77,99999,999,,,Lake of the Woods County,4045,3672,4522,3238,4045,4522
27083,50,27,83,32140,999,,,Lyon County,25857,11098,25425,10298,25857,25425
27085,50,27,85,26780,378,,,McLeod County,36651,15760,34898,14087,36651,34898
27089,50,27,89,99999,999,,,Marshall County,9439,4812,10155,4791,9439,10155
27093,50,27,93,99999,999,,,Meeker County,23300,10674,22644,9821,23300,22644
27097,50,27,97,99999,999,,,Morrison County,33198,15731,31712,13870,33198,31712
27099,50,27,99,12380,999,,,Mower County,39163,17027,38603,16251,39163,38603
27103,50,27,103,31860,999,,,Nicollet County,32727,12873,29771,11240,32727,29771
27105,50,27,105,49380,999,,,Nobles County,21378,8535,20832,8465,21378,20832
27107,50,27,107,99999,999,,,Norman County,6852,3421,7442,3455,6852,7442
27109,50,27,109,40340,999,,,Olmsted County,144248,60495,124277,49422,144248,124277
27111,50,27,111,22260,999,,,Otter Tail County,57303,35594,57159,33862,57303,57159
27113,50,27,113,99999,999,,,Pennington County,13930,6297,13584,6033,13930,13584
27115,50,27,115,99999,999,,,Pine County,29750,17276,26530,15353,29750,26530
27117,50,27,117,99999,999,,,Pipestone County,9596,4483,9895,4434,9596,9895
27119,50,27,119,24220,999,,,Polk County,31600,14610,31369,14008,31600,31369
27121,50,27,121,99999,999,,,Pope County,10995,6435,11236,5827,10995,11236
27123,50,27,123,33460,378,,,Ramsey County,508640,217197,511035,206448,508640,511035
27131,50,27,131,22060,378,,,Rice County,64142,24453,56665,20061,64142,56665
27133,50,27,133,99999,999,,,Rock County,9687,4262,9721,4137,9687,9721
27135,50,27,135,99999,999,,,Roseau County,15629,7469,16338,7101,15629,16338
27137,50,27,137,20260,999,,,St. Louis County,200226,103058,200528,95800,200226,200528
27139,50,27,139,33460,378,,,Scott County,129928,47124,89498,31609,129928,89498
